Postulante 153,ORDINARIO,5.445,NO ALCANZÓ VACANTE,FAUA
Postulante 154,ORDINARIO,3.902,NO ALCANZÓ VACANTE,FAUA
Postulante 155,ORDINARIO,6.984,NO ALCANZÓ VACANTE,FAUA
Postulante 156,ORDINARIO,3.861,NO ALCANZÓ VACANTE,FAUA
Postulante 157,ORDINARIO,4.037,NO ALCANZÓ VACANTE,FAUA
Postulante 158,ORDINARIO,5.311,NO ALCANZÓ VACANTE,FAUA
Postulante 159,ORDINARIO,6.483,NO ALCANZÓ VACANTE,FAUA
Postulante 160,ORDINARIO,8.507,NO ALCANZÓ VACANTE,FAUA
Postulante 161,ORDINARIO,6.439,NO ALCANZÓ VACANTE,FAUA
Postulante 162,ORDINARIO,6.629,NO ALCANZÓ VACANTE,FAUA
Postulante 163,ORDINARIO,4.016,NO ALCANZÓ VACANTE,FAUA
Postulante 164,ORDINARIO,6.903,NO ALCANZÓ VACANTE,FAUA
Postulante 165,EXTRAORDINARIO 1 - DOS PRIMEROS ALUMNOS,6.185,NO ALCANZÓ VACANTE,FAUA
Postulante 166,ORDINARIO,3.982,NO ALCANZÓ VACANTE,FAUA
Postulante 167,ORDINARIO,9.293,NO ALCANZÓ VACANTE,FAUA
Postulante 168,ORDINARIO,4.917,NO ALCANZÓ VACANTE,FAUA
Postulante 169,ORDINARIO,2.429,NO ALCANZÓ VACANTE,FAUA
Postulante 170,ORDINARIO,3.209,NO ALCANZÓ VACANTE,FAUA
Postulante 171,ORDINARIO,7.864,NO ALCANZÓ VACANTE,FAUA
Postulante 172,ORDINARIO,8.023,NO ALCANZÓ VACANTE,FAUA
Postulante 173,ORDINARIO,9.915,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 174,ORDINARIO,6.642,NO ALCANZÓ VACANTE,FAUA
Postulante 175,ORDINARIO,7.803,NO ALCANZÓ VACANTE,FAUA
Postulante 176,ORDINARIO,4.049,NO ALCANZÓ VACANTE,FAUA
Postulante 177,ORDINARIO,6.130,NO ALCANZÓ VACANTE,FAUA
Postulante 178,ORDINARIO,4.208,NO ALCANZÓ VACANTE,FAUA
Postulante 179,ORDINARIO,4.708,NO ALCANZÓ VACANTE,FAUA
Postulante 180,ORDINARIO,5.071,NO ALCANZÓ VACANTE,FAUA
Postulante 181,ORDINARIO,3.359,NO ALCANZÓ VACANTE,FAUA
Postulante 182,ORDINARIO,4.955,NO ALCANZÓ VACANTE,FAUA
Postulante 183,ORDINARIO,2.316,NO ALCANZÓ VACANTE,FAUA
Postulante 184,ORDINARIO,3.067,NO ALCANZÓ VACANTE,FAUA
Postulante 185,EXTRAORDINARIO 1 - VÍCTIMA DEL TERRORISMO (iniciar estudios),8.314,NO ALCANZÓ VACANTE,FAUA
Postulante 186,ORDINARIO,6.803,NO ALCANZÓ VACANTE,FAUA
Postulante 187,ORDINARIO,5.195,NO ALCANZÓ VACANTE,FAUA
Postulante 188,ORDINARIO,8.443,NO ALCANZÓ VACANTE,FAUA
Postulante 189,ORDINARIO,12.863,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 190,ORDINARIO,5.980,NO ALCANZÓ VACANTE,FAUA
Postulante 191,ORDINARIO,3.300,NO ALCANZÓ VACANTE,FAUA
Postulante 192,EXTRAORDINARIO 1 - VÍCTIMA DEL TERRORISMO (iniciar estudios),4.624,NO ALCANZÓ VACANTE,FAUA
Postulante 193,ORDINARIO,2.856,NO ALCANZÓ VACANTE,FAUA
Postulante 194,ORDINARIO,10.541,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 195,ORDINARIO,7.409,NO ALCANZÓ VACANTE,FAUA
Postulante 196,ORDINARIO,7.988,NO ALCANZÓ VACANTE,FAUA
Postulante 197,ORDINARIO,3.164,NO ALCANZÓ VACANTE,FAUA
Postulante 198,ORDINARIO,5.373,NO ALCANZÓ VACANTE,FAUA
Postulante 199,ORDINARIO,5.590,NO ALCANZÓ VACANTE,FAUA
Postulante 200,ORDINARIO,8.658,NO ALCANZÓ VACANTE,FAUA
Postulante 201,ORDINARIO,4.943,NO ALCANZÓ VACANTE,FAUA
Postulante 202,ORDINARIO,6.661,NO ALCANZÓ VACANTE,FAUA
Postulante 203,ORDINARIO,3.938,NO ALCANZÓ VACANTE,FAUA
Postulante 204,ORDINARIO,4.102,NO ALCANZÓ VACANTE,FAUA
Postulante 205,ORDINARIO,6.226,NO ALCANZÓ VACANTE,FAUA
Postulante 206,ORDINARIO,1.731,NO ALCANZÓ VACANTE,FAUA
Postulante 207,ORDINARIO,4.723,NO ALCANZÓ VACANTE,FAUA
Postulante 208,ORDINARIO,4.755,NO ALCANZÓ VACANTE,FAUA
Postulante 209,ORDINARIO,6.153,NO ALCANZÓ VACANTE,FAUA
Postulante 210,ORDINARIO,10.601,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 211,ORDINARIO,5.798,NO ALCANZÓ VACANTE,FAUA
Postulante 212,ORDINARIO,4.561,NO ALCANZÓ VACANTE,FAUA
Postulante 213,ORDINARIO,8.782,NO ALCANZÓ VACANTE,FAUA
Postulante 214,ORDINARIO,7.079,NO ALCANZÓ VACANTE,FAUA
Postulante 215,ORDINARIO,4.726,NO ALCANZÓ VACANTE,FAUA
Postulante 216,ORDINARIO,1.817,NO ALCANZÓ VACANTE,FAUA
Postulante 217,ORDINARIO,10.553,NO ALCANZÓ VACANTE,FAUA
Postulante 218,ORDINARIO,9.841,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 219,ORDINARIO,4.818,NO ALCANZÓ VACANTE,FAUA
Postulante 220,ORDINARIO,6.638,NO ALCANZÓ VACANTE,FAUA
Postulante 221,ORDINARIO,2.677,NO ALCANZÓ VACANTE,FAUA
Postulante 222,ORDINARIO,4.583,NO ALCANZÓ VACANTE,FAUA
Postulante 223,ORDINARIO,4.020,NO ALCANZÓ VACANTE,FAUA
Postulante 224,ORDINARIO,3.309,NO ALCANZÓ VACANTE,FAUA
Postulante 225,ORDINARIO,2.184,NO ALCANZÓ VACANTE,FAUA
Postulante 226,ORDINARIO,10.686,NO ALCANZÓ VACANTE,FAUA
Postulante 227,ORDINARIO,4.239,NO ALCANZÓ VACANTE,FAUA
Postulante 228,ORDINARIO,4.302,NO ALCANZÓ VACANTE,FAUA
Postulante 229,ORDINARIO,9.332,NO ALCANZÓ VACANTE,FAUA
Postulante 230,ORDINARIO,5.744,NO ALCANZÓ VACANTE,FAUA
Postulante 231,ORDINARIO,7.285,NO ALCANZÓ VACANTE,FAUA
Postulante 232,ORDINARIO,4.375,NO ALCANZÓ VACANTE,FAUA
